# 
# Header Description:
# 
# Version: v3.1.0.4 Platform: 15 Manufacturer: Google Model: Pixel 7a GNSS Hardware Model Name: Broadcom, BCM4776, GLL ver. 154.20.24 616640
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT
# 
# Pressure,utcTimeMillis,elapsedRealtimeNanos,PressureHpa
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
Agc,1746167322992,9105000000,,,-1430202531887994303,0.0,2200002718,,,12,34.44438171386719,1575420000,5
Agc,1746167322992,9105000000,,,-1430202531887994303,0.0,2200002718,,,12,0.0,1176450000,5
Agc,1746167323992,10105000000,,,-1430202531887993670,0.0,2200003020,,,12,34.68907165527344,1575420000,1
Agc,1746167323992,10105000000,,,-1430202531887993670,0.0,2200003020,,,12,0.0,1176450000,1
Agc,1746167323992,10105000000,,,-1430202531887993670,0.0,2200003020,,,12,49.213958740234375,1602000000,3
Agc,1746167323992,10105000000,,,-1430202531887993670,0.0,2200003020,,,12,34.68907165527344,1575420000,6
Agc,1746167323992,10105000000,,,-1430202531887993670,0.0,2200003020,,,12,0.0,1176450000,6
Agc,1746167323992,10105000000,,,-1430202531887993670,0.0,2200003020,,,12,49.289024353027344,1561096000,5
Agc,1746167323992,10105000000,,,-1430202531887993670,0.0,2200003020,,,12,34.68907165527344,1575420000,5
Agc,1746167323992,10105000000,,,-1430202531887993670,0.0,2200003020,,,12,0.0,1176450000,5
Agc,1746167324992,11105000000,,,-1430202531887993036,0.0,2200003322,,,12,35.234554290771484,1575420000,1
Agc,1746167324992,11105000000,,,-1430202531887993036,0.0,2200003322,,,12,0.0,1176450000,1
Agc,1746167324992,11105000000,,,-1430202531887993036,0.0,2200003322,,,12,48.66847610473633,1602000000,3
Agc,1746167324992,11105000000,,,-1430202531887993036,0.0,2200003322,,,12,35.234554290771484,1575420000,6
Agc,1746167324992,11105000000,,,-1430202531887993036,0.0,2200003322,,,12,0.0,1176450000,6
Agc,1746167324992,11105000000,,,-1430202531887993036,0.0,2200003322,,,12,49.289024353027344,1561096000,5
Agc,1746167324992,11105000000,,,-1430202531887993036,0.0,2200003322,,,12,35.234554290771484,1575420000,5
Agc,1746167324992,11105000000,,,-1430202531887993036,0.0,2200003322,,,12,0.0,1176450000,5
Agc,1746167325992,12105000000,,,-1430202531887992403,0.0,2200003624,,,12,33.75603485107422,1575420000,1
Agc,1746167325992,12105000000,,,-1430202531887992403,0.0,2200003624,,,12,0.0,1176450000,1
Agc,1746167325992,12105000000,,,-1430202531887992403,0.0,2200003624,,,12,48.256744384765625,1602000000,3
Agc,1746167325992,12105000000,,,-1430202531887992403,0.0,2200003624,,,12,33.75603485107422,1575420000,6
Agc,1746167325992,12105000000,,,-1430202531887992403,0.0,2200003624,,,12,0.0,1176450000,6
Agc,1746167325992,12105000000,,,-1430202531887992403,0.0,2200003624,,,12,53.544403076171875,1561096000,5
Agc,1746167325992,12105000000,,,-1430202531887992403,0.0,2200003624,,,12,33.75603485107422,1575420000,5
Agc,1746167325992,12105000000,,,-1430202531887992403,0.0,2200003624,,,12,0.0,1176450000,5
Fix,NLP,51.5024053000,6.5354219000,,,1299.999,,1746167321504,,,168275692000000,,0,,,
Agc,1746167326992,13105000000,,,-1430202531887991771,0.0,2200003926,,,12,35.234554290771484,1575420000,1
Agc,1746167326992,13105000000,,,-1430202531887991771,0.0,2200003926,,,12,0.0,1176450000,1
Agc,1746167326992,13105000000,,,-1430202531887991771,0.0,2200003926,,,12,50.67078399658203,1602000000,3
